iter	Passed	Remaining
846	9397	1697
847	9409	1686
848	9419	1675
849	9430	1664
850	9440	1652
851	9450	1641
852	9461	1630
853	9472	1619
854	9484	1608
855	9496	1597
856	9506	1586
857	9518	1575
858	9529	1564
859	9540	1553
860	9551	1541
861	9563	1530
862	9574	1519
863	9584	1508
864	9595	1497
865	9606	1486
866	9617	1475
867	9628	1464
868	9640	1453
869	9651	1442
870	9663	1431
871	9673	1420
872	9685	1408
873	9696	1397
874	9708	1386
875	9719	1375
876	9730	1364
877	9741	1353
878	9752	1342
879	9764	1331
880	9776	1320
881	9788	1309
882	9798	1298
883	9809	1287
884	9821	1276
885	9833	1265
886	9842	1253
887	9854	1242
888	9865	1231
889	9876	1220
890	9886	1209
891	9897	1198
892	9907	1187
893	9919	1176
894	9929	1164
895	9941	1153
896	9952	1142
897	9963	1131
898	9974	1120
899	9986	1109
900	9996	1098
901	10007	1087
902	10018	1076
903	10029	1065
904	10040	1053
905	10050	1042
906	10061	1031
907	10073	1020
908	10084	1009
909	10094	998
910	10105	987
911	10116	976
912	10127	965
913	10139	954
914	10149	942
915	10161	931
916	10172	920
917	10183	909
918	10195	898
919	10206	887
920	10217	876
921	10228	865
922	10239	854
923	10250	843
924	10262	832
925	10273	820
926	10284	809
927	10295	798
928	10306	787
929	10317	776
930	10328	765
931	10338	754
932	10350	743
933	10361	732
934	10373	721
935	10384	710
936	10395	698
937	10406	687
938	10417	676
939	10428	665
940	10440	654
941	10451	643
942	10462	632
943	10473	621
944	10485	610
945	10497	599
946	10508	588
947	10519	577
948	10530	565
949	10541	554
950	10552	543
951	10563	532
952	10574	521
953	10585	510
954	10596	499
955	10608	488
956	10628	477
957	10647	466
958	10659	455
959	10672	444
960	10685	433
961	10697	422
962	10708	411
963	10719	400
964	10731	389
965	10741	378
966	10753	366
967	10768	355
968	10781	344
969	10793	333
970	10805	322
971	10819	311
972	10830	300
973	10842	289
974	10852	278
975	10864	267
976	10875	256
977	10886	244
978	10896	233
979	10907	222
980	10922	211
981	10935	200
982	10946	189
983	10957	178
984	10971	167
985	10982	155
986	10992	144
987	11003	133
988	11014	122
989	11026	111
990	11037	100
991	11049	89
992	11060	77
993	11072	66
994	11083	55
995	11093	44
996	11104	33
997	11115	22
998	11126	11
999	11137	0
